Feature,Mutual_Info,Runtime_seconds
LINGO1.84894,0.15587030681014036,28.370546340942383
ZCCHC2.54877,0.13618305887170457,28.370546340942383
ATP6V0A1.535,0.1276144047952703,28.370546340942383
LIF.3976,0.11733172439494743,28.370546340942383
cg16234557,0.1154922204536808,28.370546340942383
AKT1.207,0.11186143108442193,28.370546340942383
EMID2.136227,0.11145928271067085,28.370546340942383
PRIM1.5557,0.11115645722629952,28.370546340942383
XRCC3.7517,0.1103856585408356,28.370546340942383
PAICS.10606,0.1092010618486059,28.370546340942383
