Feature,Mutual_Info,Runtime_seconds
LINGO1.84894,0.15587030681014036,36.40920305252075
ZCCHC2.54877,0.13618305887170457,36.40920305252075
ATP6V0A1.535,0.1276144047952703,36.40920305252075
LIF.3976,0.11733172439494743,36.40920305252075
cg16234557,0.1154922204536808,36.40920305252075
AKT1.207,0.11186143108442193,36.40920305252075
KRT73.319101,0.11142550306006238,36.40920305252075
PRIM1.5557,0.11115645722629952,36.40920305252075
PACRG.135138,0.11082255667888319,36.40920305252075
XRCC3.7517,0.1103856585408356,36.40920305252075
