Feature,Mutual_Info,Runtime_seconds
LINGO1.84894,0.15587030681014036,38.40155529975891
ZCCHC2.54877,0.13618305887170457,38.40155529975891
ATP6V0A1.535,0.1276144047952703,38.40155529975891
LIF.3976,0.11733172439494743,38.40155529975891
MS4A6E.245802,0.11557522080548432,38.40155529975891
cg16234557,0.1154922204536808,38.40155529975891
AKT1.207,0.11186143108442193,38.40155529975891
PRIM1.5557,0.11115645722629952,38.40155529975891
GRIN3B.116444,0.11072655635029793,38.40155529975891
XRCC3.7517,0.1103856585408356,38.40155529975891
