t-SNE_1,t-SNE_2,Runtime_seconds
-1.9262896,-4.124541,2.401851177215576
-7.1302714,-4.6775923,2.401851177215576
0.36578748,-3.2046227,2.401851177215576
-8.068089,-2.9178298,2.401851177215576
8.265788,3.917091,2.401851177215576
10.049911,5.980681,2.401851177215576
13.488689,7.165277,2.401851177215576
1.7158369,-1.6383082,2.401851177215576
-6.920246,-6.3408613,2.401851177215576
10.342757,5.7364335,2.401851177215576
9.10149,0.003126273,2.401851177215576
2.2237751,5.7330585,2.401851177215576
14.103486,3.83318,2.401851177215576
10.800171,5.226057,2.401851177215576
9.586736,5.0161314,2.401851177215576
10.361559,2.1497164,2.401851177215576
10.293818,8.951383,2.401851177215576
-10.278253,-6.0369024,2.401851177215576
-2.4024768,-1.1954141,2.401851177215576
0.8786778,-3.1707497,2.401851177215576
-2.0963948,-6.820238,2.401851177215576
4.3613877,0.08237527,2.401851177215576
-4.050712,-3.3566284,2.401851177215576
1.3558301,-2.8774645,2.401851177215576
-5.0456986,-6.161183,2.401851177215576
-1.1322225,-4.4121866,2.401851177215576
-3.535722,-3.2457793,2.401851177215576
-3.6354368,-1.6160591,2.401851177215576
2.4065428,-4.896736,2.401851177215576
-6.010066,-2.9891264,2.401851177215576
-3.1796873,-0.7629859,2.401851177215576
-3.942078,-3.7753103,2.401851177215576
-5.0069566,-6.151551,2.401851177215576
-1.5338905,-1.8083152,2.401851177215576
-1.2598692,0.025206605,2.401851177215576
5.9292574,-3.153469,2.401851177215576
1.8249445,-3.5472407,2.401851177215576
-7.5693245,-2.7675977,2.401851177215576
-5.1743107,-2.2875614,2.401851177215576
-2.312922,-1.9534278,2.401851177215576
-6.17611,-0.7366265,2.401851177215576
-8.583266,-2.5479784,2.401851177215576
1.353004,-4.8373137,2.401851177215576
-4.4151645,-4.559966,2.401851177215576
1.0089748,-4.4490976,2.401851177215576
-9.492172,-2.206518,2.401851177215576
-3.920049,-3.9521565,2.401851177215576
-5.97366,-3.8426902,2.401851177215576
14.337838,5.429149,2.401851177215576
-6.7544723,-6.727635,2.401851177215576
