t-SNE_1,t-SNE_2,Runtime_seconds
-2.2183812,-2.1891775,1.261181116104126
-2.7083585,-7.6629314,1.261181116104126
0.27584606,-3.2452946,1.261181116104126
-5.215935,-7.7236876,1.261181116104126
6.7698493,5.007034,1.261181116104126
7.09985,7.5688167,1.261181116104126
10.947499,8.955344,1.261181116104126
1.4781505,-4.521555,1.261181116104126
-5.3375397,-4.8289113,1.261181116104126
7.407014,7.4009213,1.261181116104126
9.276185,2.3232107,1.261181116104126
-3.6628494,5.8324156,1.261181116104126
11.309455,7.7771854,1.261181116104126
8.068316,7.114232,1.261181116104126
7.2210097,6.292577,1.261181116104126
8.856597,4.4326024,1.261181116104126
4.635479,9.34986,1.261181116104126
-8.499292,-3.8984683,1.261181116104126
-1.0154519,-0.2503862,1.261181116104126
0.8521667,-3.6670694,1.261181116104126
-3.8852367,-2.919314,1.261181116104126
2.925763,2.2122307,1.261181116104126
-1.1387997,-5.2249374,1.261181116104126
1.1945852,-2.782726,1.261181116104126
-3.8814032,-4.4008226,1.261181116104126
-1.5271046,-2.9406874,1.261181116104126
-1.4604535,-4.070577,1.261181116104126
-1.5896779,-0.4869497,1.261181116104126
0.3892194,-1.1568842,1.261181116104126
-3.9874692,-6.136138,1.261181116104126
-2.1672661,0.410736,1.261181116104126
-1.5552497,-4.5671816,1.261181116104126
-3.464411,-4.6625404,1.261181116104126
-0.066221856,-0.15965603,1.261181116104126
-1.236282,1.3072585,1.261181116104126
0.6640624,7.46509,1.261181116104126
1.061005,-2.6672533,1.261181116104126
-5.009691,-7.593459,1.261181116104126
-2.6319423,1.6569011,1.261181116104126
-1.1411492,-1.0927678,1.261181116104126
-5.6313972,-2.1847572,1.261181116104126
-5.4014916,-8.312041,1.261181116104126
-0.05153792,-2.0078876,1.261181116104126
-2.0259612,-5.0959816,1.261181116104126
-0.47218597,-2.0752435,1.261181116104126
-6.0431414,-8.877356,1.261181116104126
-1.3423264,-4.659566,1.261181116104126
-3.4623086,-6.210883,1.261181116104126
9.501504,9.882831,1.261181116104126
-5.2629347,-5.076736,1.261181116104126
11.00174,9.976593,1.261181116104126
-3.384006,0.7908207,1.261181116104126
5.365228,4.3093953,1.261181116104126
7.640955,8.926062,1.261181116104126
6.2083297,8.988937,1.261181116104126
7.599886,6.3839674,1.261181116104126
9.029086,7.1606474,1.261181116104126
5.2616763,6.957965,1.261181116104126
-5.1057305,-0.3822539,1.261181116104126
10.074704,8.963654,1.261181116104126
2.213623,-2.3157554,1.261181116104126
6.27501,5.8302126,1.261181116104126
6.358149,6.1778493,1.261181116104126
8.805102,9.320778,1.261181116104126
5.9155173,6.6898623,1.261181116104126
5.832607,6.52455,1.261181116104126
-6.2983294,0.6096078,1.261181116104126
4.132798,5.753092,1.261181116104126
9.43627,8.06787,1.261181116104126
5.7849774,5.71468,1.261181116104126
-2.6969132,-5.8495703,1.261181116104126
-4.803145,-8.314056,1.261181116104126
-1.6211764,-0.83705646,1.261181116104126
1.4046636,-0.8164912,1.261181116104126
-9.972129,-2.424959,1.261181116104126
-3.3218381,-1.8397102,1.261181116104126
-9.886486,0.6417303,1.261181116104126
0.39273915,-5.707673,1.261181116104126
-2.6108127,-3.2303116,1.261181116104126
1.9942943,-6.2533507,1.261181116104126
-8.234003,-3.7524688,1.261181116104126
-1.8377149,-2.426737,1.261181116104126
-3.6803803,-2.235026,1.261181116104126
6.709873,6.724152,1.261181116104126
-8.026711,0.8539598,1.261181116104126
