NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,Runtime_seconds
0.0,0.001805867399736061,0.050727947181711995,0.0,0.0,0.18837939356970135,0.3511891084486212,0.0,0.3584007003727535,0.05174471381440386,10.385781288146973
0.047191396768323436,0.0,0.17720435054708358,0.03542339466165153,0.013766237754878296,0.12653772026975083,0.0,0.0,0.0922833755754489,0.24013136263005314,10.385781288146973
0.09089847787711347,0.004840855999031051,0.03272946307253182,0.07362747388680618,0.056180750557509936,0.03992441010999742,0.707528165927759,0.09526000273840311,0.08394833084669157,0.0,10.385781288146973
0.15342990790803898,0.0,0.1190501663272881,0.0,0.016129679391226805,0.0,0.42578928885463485,0.017889042591482832,0.5097434513332322,0.003942044782641563,10.385781288146973
0.24600146804338882,0.0,0.024047832528965193,0.03330018749446789,0.39183209882464415,0.0,0.1256452855840473,0.3216613513100927,0.26038550099615787,0.08063112301579685,10.385781288146973
0.2741958238813661,0.0,0.03726595381518988,0.0,0.5375708527338158,0.051715169947401135,0.0,0.0,0.20893524971868907,0.0,10.385781288146973
0.24738143847368932,0.0,0.0,0.0,0.5350170845032017,0.21062801299268244,0.0,0.0,0.08075912350910404,0.0,10.385781288146973
0.3602788166718152,0.012283765134512877,0.05880118862483342,0.09674958415489883,0.0,0.0399499859163997,0.4390854813725164,0.06698074559246199,0.011872007667045768,0.025211005830285196,10.385781288146973
0.08494430933451923,0.001570776010748059,0.13856457952790696,0.07345705250640906,0.0,0.1568680779749191,0.0,0.04121386646837265,0.08710773038875577,0.04922429028687383,10.385781288146973
0.2201611373974946,0.0,0.05873128589068712,0.0,0.46294615949459056,0.06485554113042702,0.0,0.0,0.17112991709479508,0.035209359679554506,10.385781288146973
0.2961978536718938,0.0,0.0,0.08242611938539864,0.0,0.0704603922277399,0.0,0.860728484958674,0.2452657489033197,0.17009923672218927,10.385781288146973
0.17126032903039928,0.014116703713889336,0.03223300722275433,0.006290873516868455,0.08218948390745369,0.10480490664585698,0.0,0.4255887576536809,0.05715878582553434,0.11285867625249747,10.385781288146973
0.3117145437218309,0.0018601606803587058,0.021171106299770516,0.045702616387768374,0.3589862926257547,0.17622470145051927,0.0,0.18014671371428506,0.0,0.0,10.385781288146973
0.3138484335261799,0.005211756042040976,0.06745649038270889,0.0,0.44174778516678226,0.0258429539191018,0.0,0.0,0.0709414324787676,0.026115659447040036,10.385781288146973
0.3448953145658202,0.0,0.02721580560186564,0.0,0.5504116209020844,0.0,0.026031042460151938,0.0,0.390400461322137,0.0,10.385781288146973
0.22992131548244205,8.478498114133198e-05,0.012544865908028103,0.0,0.08649579902081557,0.08376477765656798,0.06897493816980103,1.378697299437303,0.01954555767185929,0.0,10.385781288146973
