Feature,Coefficient,Runtime_seconds
B3GALT4.8705,-0.014265294914060906,0.17682433128356934
LOC221710.221710,0.002935311761486431,0.17682433128356934
NFKB2.4791,-0.000828531522664772,0.17682433128356934
PIGB.9488,-0.0025913033343209066,0.17682433128356934
SRPK1.6732,0.020100310729409043,0.17682433128356934
TARDBP.23435,0.016273421223574783,0.17682433128356934
TRIM21.6737,-0.00013419006775429852,0.17682433128356934
cg00663077,0.011929234736497608,0.17682433128356934
cg11195065,0.0005194059294433939,0.17682433128356934
cg11498607,0.01126115963287989,0.17682433128356934
cg15949044,0.0018466068581498667,0.17682433128356934
cg19870698,0.003632346025924674,0.17682433128356934
cg26799209,0.01885985951971648,0.17682433128356934
